iso,year,CLI
NOR,1986,101.8262
NZL,1986,97.10573
SWE,1986,100.3051
USA,1986,100.0457
ZAF,1986,98.91643
AUS,1987,99.754
AUT,1987,98.99755
BEL,1987,99.36535
CAN,1987,101.7403
CHE,1987,99.64002
DEU,1987,99.05656
DNK,1987,99.87328
EA19,1987,99.61822
ESP,1987,99.91776
FIN,1987,101.1475
FRA,1987,99.86117
GBR,1987,100.4286
GRC,1987,98.06474
IRL,1987,98.42162
ITA,1987,100.4283
JPN,1987,99.21163
MEX,1987,100.0055
NLD,1987,99.76868
NOR,1987,99.65387
NZL,1987,99.11846
PRT,1987,101.2448
SWE,1987,101.5169
USA,1987,100.0347
ZAF,1987,100.6502
AUS,1988,100.9706
AUT,1988,98.61347
BEL,1988,100.0583
CAN,1988,101.5883
CHE,1988,99.35424
DEU,1988,99.4241
DNK,1988,99.41487
EA19,1988,99.97193
ESP,1988,100.4757
FIN,1988,101.5792
FRA,1988,100.1826
GBR,1988,101.8106
GRC,1988,101.8889
IRL,1988,99.49226
ITA,1988,100.583
JPN,1988,101.895
MEX,1988,98.49223
NLD,1988,99.12006
NOR,1988,99.34711
NZL,1988,99.31327
PRT,1988,100.712
SWE,1988,101.2437
TUR,1988,108.6357
USA,1988,100.307
ZAF,1988,101.9578
AUS,1989,101.4854
AUT,1989,100.6595
BEL,1989,100.732
BRA,1989,100.1879
CAN,1989,100.5802
CHE,1989,101.4465
DEU,1989,100.695
DNK,1989,99.57957
EA19,1989,101.197
ESP,1989,101.3652
FIN,1989,101.8436
FRA,1989,101.7451
GBR,1989,101.006
GRC,1989,102.9864
IRL,1989,103.376
ITA,1989,101.7197
JPN,1989,101.5661
MEX,1989,102.0397
NLD,1989,100.2921
NOR,1989,98.95684
NZL,1989,100.6504
PRT,1989,100.4903
SWE,1989,102.5923
TUR,1989,96.87861
USA,1989,100.4778
ZAF,1989,100.8836
AUS,1990,99.25415
AUT,1990,102.0281
BEL,1990,101.321
BRA,1990,99.34546
CAN,1990,99.26802
CHE,1990,101.8265
CHN,1990,95.72581
DEU,1990,100.7763
DNK,1990,99.98177
EA19,1990,101.1899
ESP,1990,101.9338
FIN,1990,96.94746
FRA,1990,101.423
GBR,1990,99.68965
GRC,1990,104.6558
IRL,1990,101.6903
ITA,1990,101.4004
JPN,1990,101.6608
KOR,1990,100.1611
MEX,1990,100.2612
NLD,1990,100.7455
NOR,1990,100.6842
NZL,1990,100.746
PRT,1990,100.8206
SWE,1990,100.7643
TUR,1990,103.5828
USA,1990,99.79837
ZAF,1990,100.1303
AUS,1991,97.54076
AUT,1991,101.0657
BEL,1991,99.73185
BRA,1991,100.0494
CAN,1991,97.19464
CHE,1991,97.72323
CHN,1991,95.0396
DEU,1991,100.4291
DNK,1991,99.30641
EA19,1991,99.85126
ESP,1991,100.3216
FIN,1991,95.47402
FRA,1991,99.71893
GBR,1991,97.62321
GRC,1991,98.04915
IRL,1991,98.65556
ITA,1991,99.74355
JPN,1991,100.4612
KOR,1991,98.77898
MEX,1991,99.86139
NLD,1991,99.72611
NOR,1991,100.4077
NZL,1991,96.64265
PRT,1991,99.96811
SWE,1991,98.49796
TUR,1991,95.84576
USA,1991,97.23795
ZAF,1991,98.90533
AUS,1992,99.63978
AUT,1992,99.7274
BEL,1992,100.4835
BRA,1992,98.40048
CAN,1992,99.30531
CHE,1992,98.56031
CHN,1992,98.94833
DEU,1992,99.92261
DNK,1992,100.1097
EA19,1992,99.78287
ESP,1992,100.0919
FIN,1992,96.47395
FRA,1992,99.4713
GBR,1992,99.50028
GRC,1992,100.1499
HUN,1992,100.7005
IRL,1992,100.5656
ITA,1992,100.1337
JPN,1992,98.682
KOR,1992,97.60023
MEX,1992,99.84211
NLD,1992,99.76923
NOR,1992,99.68722
NZL,1992,99.24473
POL,1992,99.21783
PRT,1992,99.78777
SWE,1992,98.23589
TUR,1992,100.4295
USA,1992,99.12001
ZAF,1992,98.97599
AUS,1993,100.4238
AUT,1993,98.09548
BEL,1993,98.26635
BRA,1993,99.91788
CAN,1993,99.58638
CHE,1993,97.67501
CHN,1993,101.639
DEU,1993,96.819
DNK,1993,97.67029
EA19,1993,97.45087
ESP,1993,97.22966
FIN,1993,96.53934
FRA,1993,98.27485
GBR,1993,99.61148
GRC,1993,99.35188
HUN,1993,97.7984
IRL,1993,97.26982
ITA,1993,97.53224
JPN,1993,97.76347
KOR,1993,98.18171
MEX,1993,98.87778
NLD,1993,98.08672
NOR,1993,98.69542
NZL,1993,100.4275
POL,1993,99.20023
PRT,1993,96.9717
RUS,1993,103.8546
SWE,1993,97.2411
TUR,1993,102.4416
USA,1993,100.1141
ZAF,1993,98.26741
AUS,1994,101.9543
AUT,1994,99.50772
BEL,1994,99.80692
BRA,1994,100.6033
CAN,1994,101.0984
CHE,1994,101.8836
CHN,1994,100.8788
DEU,1994,99.13986
DNK,1994,101.2222
EA19,1994,98.96009
ESP,1994,98.46552
FIN,1994,101.0898
FRA,1994,99.52469
GBR,1994,101.1887
GRC,1994,97.38129
HUN,1994,100.5819
IDN,1994,101.9259
IRL,1994,99.84865
ITA,1994,98.36432
JPN,1994,99.05664
KOR,1994,101.0703
MEX,1994,104.631
NLD,1994,99.17188
NOR,1994,100.2692
NZL,1994,101.9835
POL,1994,99.96294
PRT,1994,98.6871
RUS,1994,97.51011
SVK,1994,100.0928
SWE,1994,102.4376
TUR,1994,96.17853
USA,1994,100.464
ZAF,1994,99.39605
AUS,1995,100.3101
AUT,1995,101.828
BEL,1995,101.229
BRA,1995,100.8294
CAN,1995,100.1144
CHE,1995,101.4305
CHN,1995,100.6793
CZE,1995,101.4503
DEU,1995,102.0866
DNK,1995,100.8912
EA19,1995,101.467
ESP,1995,100.3429
EST,1995,95.89556
FIN,1995,102.0255
FRA,1995,101.0949
GBR,1995,100.1634
GRC,1995,99.12913
HUN,1995,99.44839
IDN,1995,101.3762
IND,1995,100.849
IRL,1995,99.47399
ISR,1995,98.90119
ITA,1995,102.4161
JPN,1995,100.732
KOR,1995,102.4248
MEX,1995,90.9084
NLD,1995,100.6919
NOR,1995,100.341
NZL,1995,100.8965
POL,1995,100.9743
PRT,1995,101.0886
RUS,1995,98.50413
SVK,1995,99.63029
SWE,1995,100.5225
TUR,1995,101.3645
USA,1995,100.1873
ZAF,1995,102.6734
AUS,1996,98.90264
AUT,1996,99.00279
BEL,1996,99.00129
BRA,1996,99.27541
CAN,1996,98.1487
CHE,1996,98.76785
CHL,1996,101.1341
CHN,1996,100.7034
CZE,1996,101.7205
DEU,1996,99.45557
DNK,1996,99.69513
EA19,1996,99.45489
ESP,1996,99.34367
EST,1996,94.2039
FIN,1996,96.52851
FRA,1996,99.04534
GBR,1996,100.0802
GRC,1996,98.9703
HUN,1996,98.73532
IDN,1996,103.1914
IND,1996,101.7752
IRL,1996,98.52714
ISR,1996,100.9717
ITA,1996,100.5916
JPN,1996,101.5327
KOR,1996,101.3943
MEX,1996,101.1227
NLD,1996,99.36102
NOR,1996,100.027
NZL,1996,100.3353
POL,1996,100.7556
PRT,1996,99.01765
RUS,1996,98.27797
SVK,1996,101.5112
SVN,1996,98.89075
SWE,1996,98.75594
TUR,1996,101.6082
USA,1996,98.70458
ZAF,1996,101.023
AUS,1997,99.45477
AUT,1997,99.46072
BEL,1997,99.78844
BRA,1997,100.9045
CAN,1997,100.5604
CHE,1997,98.46947
CHL,1997,101.6585
CHN,1997,102.9069
CZE,1997,101.0496
DEU,1997,100.094
DNK,1997,100.7442
EA19,1997,99.42777
ESP,1997,99.40529
EST,1997,97.89619
FIN,1997,101.1214
FRA,1997,98.55458
GBR,1997,100.3863
GRC,1997,100.3626
HUN,1997,99.91593
IDN,1997,107.3499
IND,1997,100.3445
IRL,1997,96.42173
ISR,1997,99.43923
ITA,1997,98.76567
JPN,1997,101.7916
KOR,1997,97.75642
MEX,1997,101.0174
NLD,1997,100.5064
NOR,1997,101.1064
NZL,1997,99.86904
POL,1997,100.9305
PRT,1997,99.35661
RUS,1997,101.2754
SVK,1997,103.5046
SVN,1997,101.1191
SWE,1997,99.35793
TUR,1997,102.3802
USA,1997,99.97169
ZAF,1997,100.911
AUS,1998,100.3893
AUT,1998,100.5986
BEL,1998,100.8423
BRA,1998,99.16682
CAN,1998,100.6996
CHE,1998,101.6918
CHL,1998,100.529
CHN,1998,97.74745
CZE,1998,99.12744
DEU,1998,100.9824
DNK,1998,101.0237
EA19,1998,100.6897
ESP,1998,100.6337
EST,1998,105.7004
FIN,1998,101.0918
FRA,1998,99.94276
GBR,1998,100.9468
GRC,1998,100.1401
HUN,1998,102.1256
IDN,1998,97.62947
IND,1998,99.23276
IRL,1998,101.6661
ISR,1998,99.21925
ITA,1998,100.8724
JPN,1998,98.61369
KOR,1998,95.05789
MEX,1998,101.4828
NLD,1998,101.1474
NOR,1998,100.8547
NZL,1998,97.24434
POL,1998,99.79539
PRT,1998,100.8434
RUS,1998,99.11356
SVK,1998,101.098
SVN,1998,100.9184
SWE,1998,100.4285
TUR,1998,101.8511
USA,1998,100.8093
ZAF,1998,99.71545
AUS,1999,100.3018
AUT,1999,99.37548
BEL,1999,99.45047
BRA,1999,97.92831
CAN,1999,99.2076
CHE,1999,99.38029
CHL,1999,98.44299
CHN,1999,99.49331
CZE,1999,97.82426
DEU,1999,99.53083
DNK,1999,98.87584
EA19,1999,99.88516
ESP,1999,101.6043
EST,1999,94.83382
FIN,1999,99.38069
FRA,1999,100.1284
GBR,1999,99.3737
GRC,1999,99.11404
HUN,1999,99.06946
IDN,1999,93.2833
IND,1999,99.97141
IRL,1999,99.24095
ISR,1999,98.99391
ITA,1999,99.70271
JPN,1999,98.2179
KOR,1999,101.0989
MEX,1999,98.60613
NLD,1999,99.82664
NOR,1999,98.33452
NZL,1999,100.5556
POL,1999,100.2699
PRT,1999,100.3632
RUS,1999,96.98228
SVK,1999,99.91848
SVN,1999,97.34648
SWE,1999,98.89599
TUR,1999,93.83155
USA,1999,100.1713
ZAF,1999,97.17664
AUS,2000,100.5395
AUT,2000,101.5857
BEL,2000,101.7294
BRA,2000,100.8937
CAN,2000,100.5091
CHE,2000,101.973
CHL,2000,101.1407
CHN,2000,100.236
CZE,2000,100.6103
DEU,2000,101.2969
DNK,2000,100.6095
EA19,2000,101.3018
ESP,2000,101.6989
EST,2000,99.06923
FIN,2000,103.9308
FRA,2000,101.4882
GBR,2000,100.4244
GRC,2000,100.6144
HUN,2000,101.8215
IDN,2000,101.3823
IND,2000,102.4882
IRL,2000,103.7002
ISR,2000,103.0804
ITA,2000,100.7759
JPN,2000,101.2092
KOR,2000,104.4319
MEX,2000,100.5936
NLD,2000,101.3303
NOR,2000,100.2953
NZL,2000,100.6771
POL,2000,99.74288
PRT,2000,101.174
RUS,2000,103.8053
SVK,2000,97.6849
SVN,2000,101.5322
SWE,2000,101.2137
TUR,2000,105.6681
USA,2000,101.3074
ZAF,2000,100.7107
AUS,2001,99.0193
AUT,2001,100.96
BEL,2001,100.8124
BRA,2001,100.9271
CAN,2001,99.05722
CHE,2001,101.6316
CHL,2001,98.93253
CHN,2001,97.85488
CZE,2001,101.4905
DEU,2001,101.2291
DNK,2001,99.38584
EA19,2001,101.076
ESP,2001,100.572
EST,2001,103.4095
FIN,2001,101.1763
FRA,2001,101.5789
GBR,2001,100.2987
GRC,2001,98.87554
HUN,2001,100.7262
IDN,2001,98.65506
IND,2001,100.4988
IRL,2001,102.5098
ISR,2001,101.4934
ITA,2001,100.9292
JPN,2001,100.3618
KOR,2001,97.62335
MEX,2001,98.65463
NLD,2001,101.2048
NOR,2001,100.8452
NZL,2001,99.55732
POL,2001,97.57439
PRT,2001,101.8547
RUS,2001,101.3604
SVK,2001,98.59177
SVN,2001,102.0397
SWE,2001,100.8652
TUR,2001,95.3089
USA,2001,98.73573
ZAF,2001,100.1919
AUS,2002,100.7332
AUT,2002,99.19534
BEL,2002,99.30111
BRA,2002,99.24323
CAN,2002,99.98447
CHE,2002,98.37066
CHL,2002,98.43851
CHN,2002,97.74733
CZE,2002,99.63091
