iso,year,CLI
DNK,2013,99.15003
EA19,2013,98.74869
ESP,2013,97.64493
EST,2013,99.28304
FIN,2013,99.11402
FRA,2013,99.0942
GBR,2013,99.59522
GRC,2013,97.51582
HUN,2013,100.2048
IDN,2013,101.4074
IND,2013,98.71712
IRL,2013,99.77435
ISR,2013,99.53664
ITA,2013,98.2562
JPN,2013,99.68386
KOR,2013,99.34576
MEX,2013,100.7603
NLD,2013,99.24885
NOR,2013,100.2853
NZL,2013,100.4994
POL,2013,99.09212
PRT,2013,98.01389
RUS,2013,99.65667
SVK,2013,98.07973
SVN,2013,97.75509
SWE,2013,98.45327
TUR,2013,100.2505
USA,2013,100.0412
ZAF,2013,100.6636
AUS,2014,99.92451
AUT,2014,100.5901
BEL,2014,100.6171
BRA,2014,99.00161
CAN,2014,100.1369
CHE,2014,100.868
CHL,2014,99.84152
CHN,2014,101.3009
CZE,2014,100.5051
DEU,2014,100.9745
DNK,2014,100.4239
EA19,2014,100.3395
ESP,2014,100.193
EST,2014,99.86684
FIN,2014,100.5481
FRA,2014,99.58151
GBR,2014,101.9291
GRC,2014,99.08371
HUN,2014,99.00647
IDN,2014,99.03609
IND,2014,98.61049
IRL,2014,100.1115
ISR,2014,99.76908
ITA,2014,100.2667
JPN,2014,101.416
KOR,2014,99.77917
MEX,2014,98.71557
NLD,2014,100.6508
NOR,2014,101.4028
NZL,2014,101.1647
POL,2014,100.1258
PRT,2014,101.1772
RUS,2014,100.4523
SVK,2014,100.1697
SVN,2014,98.45696
SWE,2014,99.55941
TUR,2014,98.74113
USA,2014,100.6538
ZAF,2014,100.3827
AUS,2015,100.6498
AUT,2015,99.15183
BEL,2015,99.81844
BRA,2015,97.80394
CAN,2015,99.87707
CHE,2015,99.04015
CHL,2015,99.87626
CHN,2015,100.4256
CZE,2015,101.129
DEU,2015,99.91649
DNK,2015,100.0075
EA19,2015,100.2164
ESP,2015,101.7833
EST,2015,100.3014
FIN,2015,99.93333
FRA,2015,99.64213
GBR,2015,101.125
GRC,2015,100.7533
HUN,2015,99.53454
IDN,2015,99.71306
IND,2015,99.84055
IRL,2015,101.2961
ISR,2015,99.85023
ITA,2015,100.3109
JPN,2015,100.1653
KOR,2015,100.5333
MEX,2015,100.9419
NLD,2015,100.6605
NOR,2015,99.68652
NZL,2015,99.23578
POL,2015,100.3777
PRT,2015,100.4506
RUS,2015,99.41334
SVK,2015,100.1266
SVN,2015,101.4287
SWE,2015,99.49927
TUR,2015,99.68564
USA,2015,100.7483
ZAF,2015,100.5299
AUS,2016,99.87025
AUT,2016,99.17706
BEL,2016,100.0835
BRA,2016,96.89603
CAN,2016,98.74568
CHE,2016,98.94646
CHL,2016,99.18411
CHN,2016,99.75694
CZE,2016,100.6663
DEU,2016,99.57849
DNK,2016,99.56565
EA19,2016,100.2404
ESP,2016,101.0641
EST,2016,101.1538
FIN,2016,100.4977
FRA,2016,100.2454
GBR,2016,99.96685
GRC,2016,102.2772
HUN,2016,99.65472
IDN,2016,97.89723
IND,2016,100.0687
IRL,2016,100.5234
ISR,2016,99.27416
ITA,2016,100.8079
JPN,2016,99.73843
KOR,2016,100.3803
MEX,2016,100.6644
NLD,2016,100.1456
NOR,2016,99.14586
NZL,2016,98.93609
POL,2016,100.9094
PRT,2016,100.2761
RUS,2016,97.54913
SVK,2016,99.98894
SVN,2016,101.2485
SWE,2016,99.6403
TUR,2016,97.00935
USA,2016,99.13493
ZAF,2016,100.0361
AUS,2017,100.283
AUT,2017,100.1017
BEL,2017,100.2816
BRA,2017,100.1573
CAN,2017,100.101
CHE,2017,99.77023
CHL,2017,98.20536
CHN,2017,100.0433
CZE,2017,99.79431
DEU,2017,99.97943
DNK,2017,100.143
EA19,2017,100.0582
ESP,2017,99.85836
EST,2017,101.9963
FIN,2017,101.2759
FRA,2017,100.1818
GBR,2017,100.2371
GRC,2017,99.92953
HUN,2017,99.86319
IDN,2017,99.82415
IND,2017,99.28542
IRL,2017,100.9068
ISR,2017,99.91308
ITA,2017,99.87325
JPN,2017,100.0093
KOR,2017,100.6956
MEX,2017,99.89046
NLD,2017,100.2871
NOR,2017,100.1522
NZL,2017,100.488
POL,2017,100.433
PRT,2017,100.0672
RUS,2017,100.3271
SVK,2017,99.61475
SVN,2017,100.6534
SWE,2017,99.66846
TUR,2017,98.56865
USA,2017,99.55937
ZAF,2017,99.49693
AUS,2018,99.8168
AUT,2018,101.3804
BEL,2018,100.3707
BRA,2018,103.6064
CAN,2018,100.4836
CHE,2018,100.9384
CHL,2018,102.2865
CHN,2018,98.91195
CZE,2018,99.45837
DEU,2018,100.8143
DNK,2018,100.4203
EA19,2018,100.489
ESP,2018,99.8884
EST,2018,99.94244
FIN,2018,101.3085
FRA,2018,100.2757
GBR,2018,99.24007
GRC,2018,99.3018
HUN,2018,100.5098
IDN,2018,99.78679
IND,2018,100.3099
IRL,2018,100.0028
ISR,2018,100.3828
ITA,2018,100.7534
JPN,2018,100.0642
KOR,2018,99.84818
MEX,2018,98.74695
NLD,2018,100.5684
NOR,2018,101.0382
NZL,2018,102.8406
POL,2018,99.20976
PRT,2018,99.74789
RUS,2018,101.0039
SVK,2018,100.8616
SVN,2018,100.013
SWE,2018,99.58158
TUR,2018,101.2102
USA,2018,99.99205
ZAF,2018,100.0799
